Item,ID,Name,Type,SKU,Options,"Inventory Tracking","Current Stock","Low Stock",Price,"Cost Price","Retail Price","Sale Price","Brand ID",Channels,Categories,Description,"Custom Fields","Page Title","Product URL","Meta Description","Search Keywords","Meta Keywords","Bin Picking Number",UPC/EAN,"Global Trade Number","Manufacturer Part Number","Free Shipping","Fixed Shipping Cost",Weight,Width,Height,Depth,"Is Visible","Is Featured",Warranty,"Tax Class","Product Condition","Show Product Condition","Sort Order","Variant Image URL","Internal Image URL (Export)","Image URL (Import)","Image Description","Image is Thumbnail","Image Sort Order","YouTube ID","Video Title","Video Description","Video Sort Order"
Product,28928,"Power Tubes Groove Tubes 6550R R4 Matched Pair",physical,GT-6550,,product,1,0,119.99,66.50,139.99,0.00,374,1,1200,,,,/power-tubes-groove-tubes-6550r-r4-matched-pair,,,,,736021129122,,,FALSE,0.00,0.10,0.00,0.00,0.00,FALSE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Product,29187,"Native Flute High Spirits Red Tail Hawk G MInor Cedar",physical,101-CT-NEW,,product,1,0,225.00,150.83,225.00,0.00,289,1,1247,,,,/native-flute-high-spirits-red-tail-hawk-g-minor-cedar,,,,,7025170,,,FALSE,0.00,0.10,0.00,0.00,0.00,FALSE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Product,29197,"Native Spirit Flute Astrology -Taurus Key of A Minor",physical,SF113-TAURUS,,product,1,0,125.00,59.75,125.00,0.00,289,1,1247,,,,/native-spirit-flute-astrology-taurus-key-of-a-minor,,,,,,,,FALSE,0.00,0.10,0.00,0.00,0.00,FALSE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Product,29346,"Legere Synthetic Signature Cut Tenor Saxophone Reed - 2.50",physical,LGTSSS2.50,,product,5,0,38.99,25.86,46.60,0.00,66,1,828,"<p>The Signature for saxophone offers exceptional tonal depth and consistency. Known for its balanced tone and easy response, it’s ideal for all genres from classical to jazz, contemporary to big band. This reed allows for smooth articulation and dynamic control, making it a versatile choice for advanced saxophonists. Whether performing in solo or ensemble settings, the Signature provides reliable performance and great tonal clarity, ensuring a full, resonant sound. It is an excellent choice for musicians looking for both quality and consistency and anyone new to Légère reeds.</p>
<p>A bright and stable reed colored with a full spectrum of overtones. This reed is very responsive and articulate due to its relative thinness versus the Classic. The Signature for Saxophone is the recommended cut for players in solo, classical, or jazz studio settings.</p>","[{""id"":38378,""name"":""bc_variant_sku"",""value"":""LGTSSS2.0""},{""id"":38379,""name"":""bc_variant_sku"",""value"":""LGTSSS2.25""},{""id"":38380,""name"":""bc_variant_sku"",""value"":""LGTSSS2.75""},{""id"":38381,""name"":""bc_variant_sku"",""value"":""LGTSSS3.0""},{""id"":38382,""name"":""bc_variant_sku"",""value"":""LGTSSS3.25""},{""id"":38383,""name"":""bc_variant_display_name_header_1"",""value"":""Strength""},{""id"":38384,""name"":""bc_variant_display_name_1"",""value"":""2.50""},{""id"":38385,""name"":""bc_variant_display_with_image"",""value"":""True""}]",,/legere-synthetic-signature-cut-tenor-saxophone-reed-2-50,"Save money on Legere products like this LGTSSS Tenor Sax Reed Legere Synthetic Signature Cut at Ted Brown Music.",,,,827778421000,,,FALSE,0.00,0.20,7.00,11.00,1.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,22266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-10xdzq6qo9/products/29346/images/22266/signature_tenor__17280.1778805630.1280.1280__49393.1778874618.386.513.jpg?c=1,,"Legere Signature tenor saxophone reed box in black and gold packaging.",TRUE,0,,,,
Video,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2jzRj4Sk9jQ,"The Légère Reeds Story","Légère Reeds has been making reeds for saxophones and clarinets since 1998. Get a look at some of the manufacturing techniques we have develped since then and also hear from Légère founders Guy Légère and Mark Kortschot on what makes these reeds so special. 

Music written and composed by Ross Budgen: https://www.youtube.com/channel/UCQKGLOK2FqmVgVwYferltKQ",0
Product,29727,"Trumpet Yamaha Custom LA Silver",physical,YTR-8335LAS,,product,1,0,3549.99,0.00,0.00,0.00,38,1,1200,,,,/trumpet-yamaha-custom-la-silver-7bsd,,,,,86792840994,,,FALSE,0.00,0.10,0.00,0.00,0.00,FALSE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Product,29846,"Gretsch Synchromatic Nashville Electric Guitar-Semi/Hollowbody",physical,"SYNCHROMATIC NASHVILLE",,variant,1,0,1299.99,0.00,0.00,0.00,73,1,1200;1208,,,,/gretsch-synchromatic-nashville-electric-guitar-semi-hollowbody,,,,,,,,FALSE,0.00,0.10,0.00,0.00,0.00,FALSE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Variant,79367,,,2506411512,"Type=Dropdown|Name=Color|Value=50's Orange Stain",,0,0,1299.99,812.70,1299.99,0.00,,,,,,,,,,,,885978529360,,,FALSE,,,,,,,,,,,,,,,,,,,,,,
Variant,79368,,,2506411548,"Type=Dropdown|Name=Color|Value=Cadillac Green",,1,0,1299.99,812.70,1299.99,0.00,,,,,,,,,,,,885978529445,,,FALSE,,,,,,,,,,,,,,,,,,,,,,
